Platform,Genre,NA_Sales,JP_Sales,Rating,Critic_Score_Class
16.0,8.0,3.24,0.01,4.0,2.0
15.0,0.0,3.12,0.08,4.0,2.0
7.0,10.0,4.26,0.01,1.0,2.0
7.0,7.0,0.65,3.61,6.0,2.0
2.0,5.0,1.21,1.03,1.0,2.0
15.0,0.0,1.09,0.03,1.0,2.0
5.0,7.0,2.45,0.0,4.0,2.0
7.0,8.0,1.98,0.13,6.0,0.0
7.0,3.0,3.81,0.0,6.0,2.0
15.0,7.0,3.59,0.05,4.0,2.0
8.0,0.0,1.96,1.08,4.0,2.0
2.0,0.0,1.85,0.95,1.0,2.0
8.0,10.0,0.61,0.06,1.0,2.0
6.0,0.0,2.05,1.11,4.0,2.0
10.0,0.0,1.7,0.16,4.0,2.0
6.0,10.0,3.42,0.02,6.0,2.0
7.0,3.0,3.49,0.01,6.0,2.0
12.0,8.0,3.05,0.29,6.0,0.0
15.0,7.0,3.4,0.09,4.0,2.0
8.0,0.0,2.32,0.12,6.0,2.0
7.0,10.0,3.98,0.01,1.0,2.0
5.0,11.0,2.58,0.0,6.0,2.0
8.0,1.0,1.91,0.09,4.0,2.0
8.0,0.0,2.74,0.12,4.0,2.0
9.0,0.0,2.13,0.09,6.0,2.0
6.0,6.0,2.57,0.44,1.0,2.0
2.0,0.0,2.83,0.0,1.0,2.0
6.0,0.0,2.36,0.02,6.0,0.0
15.0,0.0,2.99,0.04,6.0,2.0
6.0,10.0,3.05,0.02,6.0,2.0
7.0,0.0,1.94,0.08,6.0,2.0
6.0,0.0,2.29,0.13,6.0,2.0
12.0,9.0,1.83,1.32,1.0,1.0
0.0,0.0,1.82,1.12,1.0,2.0
16.0,8.0,2.86,0.03,6.0,2.0
4.0,0.0,2.6,0.89,1.0,2.0
12.0,3.0,3.04,0.0,6.0,2.0
15.0,6.0,2.08,0.06,1.0,2.0
13.0,8.0,1.56,1.48,2.0,2.0
7.0,10.0,4.18,0.01,1.0,2.0
15.0,3.0,3.19,0.01,6.0,2.0
7.0,10.0,3.63,0.01,1.0,2.0
7.0,0.0,2.71,0.03,1.0,1.0
13.0,4.0,2.18,0.73,1.0,2.0
7.0,0.0,2.71,0.02,4.0,2.0
13.0,3.0,2.52,0.46,2.0,1.0
7.0,10.0,2.66,0.01,6.0,2.0
7.0,10.0,0.1,1.05,1.0,2.0
15.0,7.0,2.83,0.13,4.0,2.0
16.0,7.0,2.59,0.01,4.0,2.0
7.0,6.0,2.03,0.08,6.0,2.0
12.0,3.0,2.64,0.01,2.0,3.0
8.0,8.0,1.74,0.14,4.0,2.0
7.0,7.0,2.2,1.38,2.0,2.0
15.0,7.0,2.51,0.11,4.0,2.0
8.0,0.0,2.24,0.07,6.0,2.0
3.0,3.0,3.0,0.05,1.0,1.0
7.0,0.0,1.46,0.83,4.0,2.0
15.0,10.0,0.93,0.01,1.0,2.0
8.0,0.0,1.41,0.1,4.0,2.0
10.0,4.0,2.45,0.0,2.0,2.0
7.0,10.0,0.78,0.04,1.0,2.0
7.0,3.0,0.88,0.2,1.0,2.0
15.0,0.0,2.25,0.04,4.0,2.0
8.0,6.0,1.28,0.57,1.0,2.0
8.0,2.0,2.03,0.58,6.0,2.0
7.0,10.0,3.36,0.01,1.0,2.0
9.0,7.0,1.07,0.23,4.0,2.0
5.0,8.0,4.03,0.09,4.0,2.0
9.0,0.0,1.4,0.11,4.0,2.0
5.0,7.0,2.57,0.0,6.0,2.0
9.0,0.0,1.59,0.11,4.0,2.0
7.0,0.0,2.32,0.04,4.0,2.0
9.0,8.0,1.15,0.1,4.0,2.0
15.0,7.0,2.66,0.04,4.0,2.0
12.0,3.0,2.12,0.05,1.0,3.0
15.0,6.0,2.35,0.03,1.0,2.0
7.0,2.0,1.68,0.51,6.0,2.0
9.0,8.0,1.37,0.15,4.0,2.0
9.0,0.0,1.2,0.08,4.0,0.0
15.0,8.0,2.67,0.05,4.0,2.0
8.0,7.0,2.16,0.07,4.0,2.0
12.0,0.0,2.03,0.37,2.0,2.0
2.0,5.0,0.9,0.92,2.0,2.0
5.0,7.0,1.16,0.0,4.0,2.0
0.0,7.0,0.7,2.62,6.0,2.0
12.0,10.0,2.09,0.06,1.0,2.0
9.0,10.0,2.51,0.04,2.0,2.0
7.0,10.0,2.29,0.01,6.0,2.0
